"firstID","secondID","HomePlanet","HomePlanetEarth","HomePlanetEuropa","HomePlanetMars","CryoSleep","CryoSleepFalse","CryoSleepTrue","deck","deckA","deckB","deckC","deckD","deckE","deckF","deckG","deckT","num","sideP","sideS","sideTrashCompactor","Destination","Destination55.Cancri.e","DestinationPSO.J318.5.22","DestinationTRAPPIST.1e","Age","VIP","VIPFalse","VIPTrue","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","firstnamelength","lastnamelength","hadRSFALSE","hadRSTRUE","hadFCFALSE","hadFCTRUE","hadSPAFALSE","hadSPATRUE","hadMALLFALSE","hadMALLTRUE","hadVRFALSE","hadVRTRUE","is_homeless.False","is_homeless.True"
13,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,27,0,1,0,0,0,0,0,0,5,9,1,0,1,0,1,0,1,0,1,0,1,0
18,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,19,0,1,0,0,9,0,2823,0,6,7,1,0,1,0,1,0,1,0,1,0,1,0
19,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,31,0,1,0,0,0,0,0,0,5,9,1,0,1,0,1,0,1,0,1,0,1,0
21,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,38,0,1,0,0,6652,0,181,585,6,9,1,0,1,0,1,0,1,0,1,0,1,0
23,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,1,20,0,1,0,10,0,635,0,0,6,8,1,0,1,0,1,0,1,0,1,0,1,0
27,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,1,31,0,1,0,0,1615,263,113,60,6,5,1,0,1,0,1,0,1,0,1,0,1,0
29,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,21,0,1,0,0,0,0,0,0,5,9,1,0,0,1,1,0,1,0,1,0,1,0
32,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,20,0,1,0,0,0,0,0,0,6,7,1,0,1,0,1,0,1,0,1,0,1,0
32,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,23,0,1,0,0,0,0,0,0,5,7,1,0,1,0,1,0,1,0,1,0,1,0
33,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,1,0,0,24,0,1,0,0,639,0,0,0,6,10,1,0,1,0,1,0,1,0,1,0,1,0
37,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,1,19,0,1,0,339,3,136,237,0,5,7,1,0,1,0,1,0,1,0,1,0,1,0
40,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,45,0,1,0,932,74,0,7,1010,6,9,1,0,1,0,1,0,0,1,1,0,1,0
40,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,44,0,1,0,0,1561,0,14,224,5,9,1,0,1,0,1,0,1,0,1,0,1,0
42,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,46,0,1,0,0,0,0,0,0,5,6,1,0,1,0,1,0,1,0,1,0,1,0
46,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,21,0,1,0,0,0,0,1687,92,6,6,1,0,1,0,1,0,1,0,1,0,1,0
46,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,1,27,0,1,0,0,0,0,903,0,5,6,1,0,1,0,1,0,1,0,0,1,1,0
46,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,1,20,0,1,0,2,12,253,457,690,6,6,1,0,1,0,1,0,1,0,1,0,1,0
47,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,44,0,1,0,0,0,0,0,0,7,8,1,0,1,0,1,0,1,0,1,0,1,0
47,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,29,0,1,0,0,7708,243,569,343,5,8,1,0,1,0,1,0,1,0,1,0,0,1
47,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40,0,1,0,26,1925,8,3144,63,0,0,1,0,1,0,1,0,1,0,1,0,1,0
48,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1,30,0,1,0,0,878,26,3,0,4,8,1,0,1,0,1,0,1,0,1,0,1,0
49,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,14,0,1,0,0,0,0,1609,0,5,7,0,1,1,0,1,0,1,0,1,0,1,0
54,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,31,0,1,0,0,0,0,0,0,7,8,1,0,1,0,1,0,1,0,1,0,1,0
