"firstID","secondID","HomePlanet","HomePlanetEarth","HomePlanetEuropa","HomePlanetMars","CryoSleep","CryoSleepFalse","CryoSleepTrue","deck","deckA","deckB","deckC","deckD","deckE","deckF","deckG","deckT","num","sideP","sideS","sideTrashCompactor","Destination","Destination55.Cancri.e","DestinationPSO.J318.5.22","DestinationTRAPPIST.1e","Age","VIP","VIPFalse","VIPTrue","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","firstnamelength","lastnamelength","hadRSFALSE","hadRSTRUE","hadFCFALSE","hadFCTRUE","hadSPAFALSE","hadSPATRUE","hadMALLFALSE","hadMALLTRUE","hadVRFALSE","hadVRTRUE","is_homeless.False","is_homeless.True","Transported"
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,0,1,0,0,0,0,0,0,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24,0,1,0,109,9,25,549,44,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,58,0,0,1,43,3576,0,6715,49,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"False"
3,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,33,0,1,0,0,1283,371,3329,193,5,6,1,0,1,0,1,0,1,0,1,0,1,0,"False"
4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,16,0,1,0,303,70,151,565,2,5,11,1,0,1,0,1,0,1,0,1,0,1,0,"True"
5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,44,0,1,0,0,483,0,291,0,6,10,1,0,1,0,1,0,1,0,1,0,1,0,"True"
6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,26,0,1,0,42,1539,3,0,0,6,11,1,0,1,0,1,0,1,0,1,0,1,0,"True"
6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,28,0,1,0,0,0,0,0,0,6,11,1,0,1,0,1,0,1,0,0,1,1,0,"True"
7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,35,0,1,0,0,785,17,216,0,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
8,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,14,0,1,0,0,0,0,0,0,7,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
8,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,34,0,1,0,0,0,0,0,0,7,6,1,0,1,0,1,0,0,1,1,0,1,0,"True"
8,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,45,0,1,0,39,7295,589,110,124,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,32,0,1,0,73,0,1123,0,113,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,48,0,1,0,719,1,65,0,24,5,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,28,0,1,0,8,974,12,2,7,4,10,1,0,1,0,1,0,1,0,1,0,1,0,"True"
12,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,31,0,1,0,32,0,876,0,0,6,6,1,0,1,0,1,0,1,0,1,0,0,1,"False"
14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,27,0,1,0,1286,122,0,0,0,5,5,1,0,1,0,1,0,0,1,1,0,1,0,"False"
15,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,24,0,1,0,0,1,0,0,637,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
16,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,1,45,0,1,0,0,0,0,0,0,4,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
17,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,8,1,0,1,0,1,0,1,0,1,0,1,0,"True"
17,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,1,0,0,14,0,1,0,412,0,1,0,679,6,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
20,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,6,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
20,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,49,0,1,0,0,0,0,0,0,6,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
